"Title: Number of Reported Chlamydia Cases by Gender | KFF"
"Timeframe: 2010 - 2018"
"Location","2010__Men","2010__Women","2011__Men","2011__Women","2012__Men","2012__Women","2013__Men","2013__Women","2014__Men","2014__Women","2015__Men","2015__Women","2016__Men","2016__Women","2017__Men","2017__Women","2018__Men","2018__Women",Footnotes
"United States","353923","949802","389970","1018552","402557","1018272","405652","993348","433325","1006441","478981","1045143","522870","1072719","577644","1127651","610447","1145063","1"
"South Dakota","883","2300","914","2491","1123","2801","1134","2793","1224","2942","1118","2831","1259","3072","1343","3094","1424","3008"
"Tennessee","7748","20559","8905","22200","9754","22732","9311","21057","9587","21203","10158","21112","10584","21714","11736","23348","13057","25151"
"Texas","26966","92847","29533","95326","30532","96405","31980","96923","34110","96959","38539","102141","40992","101618","45170","105995","45450","100417"
"Utah","2215","4473","2265","4821","2466","5149","2485","5050","2808","5414","2929","5704","3424","6031","3516","6606","3733","6808"
"Vermont","347","910","377","1106","428","1296","523","1319","622","1613","549","1352","518","1171","611","1242","527","1171"
"Virginia","8397","22348","9929","26283","10247","24670","10112","23167","11244","24754","11460","23859","13395","26146","14311","27606","14924","27849"
"Washington","5711","15634","6639","16641","7325","17271","7498","17452","8384","18193","9651","19047","10975","20276","11713","20515","13006","21432"
"West Virginia","1044","2832","1203","3092","1385","3405","1514","3624","1363","3356","1509","3449","1491","3330","1365","2775","1224","2374"
"Wisconsin","6573","16657","7203","17402","6999","16727","7114","16448","7077","16063","7703","16660","8487","18382","9058","18667","9386","18617"
"Wyoming","808","1305","734","1357","610","1492","617","1387","619","1352","643","1387","704","1356","741","1399","747","1422"
"Guam","235","664","288","783","305","726","234","700","244","595","263","618","280","654","354","753","2","53"
"Puerto Rico","1076","4878","1106","4528","1125","5102","1203","4766","1126","3770","1319","3950","1647","5551","1255","4702","274","670"
"Virgin Islands","182","427","229","591","210","592","196","579","201","590","180","563","166","405","140","318","57","189"

"Notes"
"Cases reported with unknown sex are not included in this table."
""
"Trends in rates of reported cases of chlamydia are influenced by changes in incidence of infection, as well as changes in diagnostic, screening, and reporting practices. As chlamydial infections are usually asymptomatic, the number of infections identified and reported can increase as more people are screened even when incidence is flat or decreasing. Expanded use of more sensitive diagnostics tests (e.g., nucleic acid amplification tests) can also increase the number of infections identified and reported independent of increases in incidence. Additionally, increasing use of electronic laboratory reporting has likely increased the proportion of diagnosed cases that are reported. Consequently, an increasing chlamydia case rate may reflect increases in incidence of infection, screening coverage, and use of more sensitive tests, as well as more complete reporting.  Likewise, decreases in chlamydia case rates may suggest decreases in incidence of infection or screening coverage."

"Sources"
"Centers for Disease Control and Prevention (CDC). 2018 Sexually Transmitted Diseases Surveillance. Atlanta: U.S. Department of Health and Human Services, October, 2019. The online version of this report is available [here](https://www.cdc.gov/std/stats18/STDSurveillance2018-full-report.pdf)."

"Definitions"
"*NR*: No report."


Footnotes
"1. U.S. totals exclude data from the territories."
