"Title: Population Distribution by Family Structure | KFF"
"Timeframe: 2010 - 2019"
"Location","2010__Adults with Children","2010__Adults with No Children","2010__Total","2011__Adults with Children","2011__Adults with No Children","2011__Total","2012__Adults with Children","2012__Adults with No Children","2012__Total","2013__Adults with Children","2013__Adults with No Children","2013__Total","2014__Adults with Children","2014__Adults with No Children","2014__Total","2015__Adults with Children","2015__Adults with No Children","2015__Total","2016__Adults with Children","2016__Adults with No Children","2016__Total","2017__Adults with Children","2017__Adults with No Children","2017__Total","2018__Adults with Children","2018__Adults with No Children","2018__Total","2019__Adults with Children","2019__Adults with No Children","2019__Total",Footnotes
"United States","65383100","119377600","184760600","65083000","121247500","186330500","64792000","122429000","187221000","64462100","123634800","188097000","64300600","124987300","189287800","64386000","125892700","190278700","64037300","126422200","190459500","64147400","127270500","191418000","63968500","127531200","191499600","63384600","127772500","191157100","1"
"Maryland","1239500","2298500","3538000","1202500","2366500","3569000","1212500","2377400","3589900","1222700","2384300","3607000","1213800","2413200","3627100","1221000","2413300","3634300","1195300","2414100","3609300","1204700","2424500","3629300","1190700","2395000","3585700","1184600","2382300","3566900"
"Massachusetts","1374900","2620100","3995000","1367200","2651600","4018800","1348400","2687700","4036100","1343500","2714400","4057900","1338700","2752700","4091400","1311100","2809000","4120100","1319600","2782300","4101900","1316200","2803200","4119400","1321700","2822400","4144200","1286200","2836500","4122700"
"Michigan","2073700","3836000","5909700","2015200","3916300","5931500","2006200","3903200","5909400","1981200","3924500","5905800","1967700","3937600","5905300","1932200","3949700","5881900","1888300","3984700","5873000","1938200","3926300","5864500","1925500","3940300","5865800","1874700","3950500","5825200"
"Minnesota","1181200","2026800","3208000","1191800","2031600","3223400","1172900","2063800","3236700","1157900","2088600","3246600","1153600","2114200","3267800","1176800","2096100","3272900","1180000","2087900","3267900","1142100","2150700","3292800","1154900","2140300","3295200","1188900","2094000","3282900"
"Mississippi","616900","1093100","1710000","611600","1114400","1726000","614100","1100400","1714500","591200","1130500","1721700","587900","1122500","1710400","603200","1097200","1700400","569700","1126200","1695800","577000","1109500","1686500","571300","1112100","1683400","548100","1117600","1665700"
"Missouri","1232600","2301600","3534100","1270400","2278100","3548500","1222700","2316700","3539400","1225000","2327500","3552500","1210000","2340400","3550400","1231900","2316200","3548100","1210800","2313900","3524600","1214900","2308800","3523700","1189900","2338400","3528300","1207500","2304700","3512200"
"Montana","201100","383800","584900","193600","405400","599000","192900","405000","597900","194100","401500","595500","202200","395700","597800","189200","412300","601600","201300","397600","598900","187500","420200","607700","197500","405700","603200","195400","405300","600700"
"Nebraska","396600","671300","1067900","399600","674200","1073700","405100","668400","1073500","405400","675400","1080800","411200","667300","1078400","415400","669500","1084900","410900","681500","1092400","413300","681000","1094300","424800","664100","1088800","418000","665800","1083700"
"Nevada","567500","1073500","1640900","565800","1087900","1653700","565700","1105900","1671600","558800","1124000","1682800","548100","1163600","1711700","552000","1182200","1734100","550400","1203900","1754300","580700","1206800","1787400","564800","1237300","1802100","583100","1240900","1824000"
"New Hampshire","280900","527400","808200","283500","526900","810400","269000","539200","808200","282200","523800","805900","266900","538700","805600","259800","542800","802700","256500","545700","802200","256200","549800","806000","245500","561100","806600","252700","553500","806300"
"New Jersey","1974300","3354000","5328200","1958200","3384300","5342500","1965400","3399700","5365100","1929200","3432600","5361800","1896700","3498300","5395000","1909800","3488500","5398400","1865600","3496300","5361900","1912300","3475700","5388000","1836800","3462900","5299600","1811300","3449500","5260800"
"New Mexico","433900","775600","1209600","415200","799600","1214800","416400","792500","1208900","411400","794400","1205800","407300","800900","1208200","396100","793900","1190000","388500","803600","1192100","375500","810000","1185600","372100","809100","1181100","380500","796700","1177200"
"New York","3986800","7873900","11860800","3914300","8035700","11950100","3866500","8106800","11973300","3849600","8172000","12021700","3766200","8294400","12060600","3702300","8365900","12068200","3690800","8301500","11992300","3641200","8341200","11982400","3622000","8097900","11719900","3553600","8046400","11600100"
"North Carolina","2010400","3666200","5676600","1987500","3740500","5728100","2001300","3768700","5770000","1953600","3841900","5795500","1988800","3853700","5842400","2012900","3870100","5883000","2026400","3896100","5922400","2054300","3912600","5966800","2035100","3977500","6012700","2043800","4000100","6043900"
"North Dakota","140100","260400","400500","145400","262400","407700","143600","275100","418600","153100","279500","432600","154100","284300","438400","163300","282300","445600","151900","293300","445200","160800","282400","443200","153400","291200","444600","163300","274700","438000"
