"Location","2010__White","2010__Black","2010__Hispanic","2010__Asian","2010__American Indian/Alaska Native","2010__Native Hawaiian/Other Pacific Islander","2010__Multiple Races","2010__Total","2011__White","2011__Black","2011__Hispanic","2011__Asian","2011__American Indian/Alaska Native","2011__Native Hawaiian/Other Pacific Islander","2011__Multiple Races","2011__Total","2012__White","2012__Black","2012__Hispanic","2012__Asian","2012__American Indian/Alaska Native","2012__Native Hawaiian/Other Pacific Islander","2012__Multiple Races","2012__Total","2013__White","2013__Black","2013__Hispanic","2013__Asian","2013__American Indian/Alaska Native","2013__Native Hawaiian/Other Pacific Islander","2013__Multiple Races","2013__Total","2014__White","2014__Black","2014__Hispanic","2014__Asian","2014__American Indian/Alaska Native","2014__Native Hawaiian/Other Pacific Islander","2014__Multiple Races","2014__Total","2015__White","2015__Black","2015__Hispanic","2015__Asian","2015__American Indian/Alaska Native","2015__Native Hawaiian/Other Pacific Islander","2015__Multiple Races","2015__Total","2016__White","2016__Black","2016__Hispanic","2016__Asian","2016__American Indian/Alaska Native","2016__Native Hawaiian/Other Pacific Islander","2016__Multiple Races","2016__Total","2017__White","2017__Black","2017__Hispanic","2017__Asian","2017__American Indian/Alaska Native","2017__Native Hawaiian/Other Pacific Islander","2017__Multiple Races","2017__Total","2018__White","2018__Black","2018__Hispanic","2018__Asian","2018__American Indian/Alaska Native","2018__Native Hawaiian/Other Pacific Islander","2018__Multiple Races","2018__Total","2019__White","2019__Black","2019__Hispanic","2019__Asian","2019__American Indian/Alaska Native","2019__Native Hawaiian/Other Pacific Islander","2019__Multiple Races","2019__Total",Footnotes
"United States","191844300","36217100","49603000","14275400","1997400","444100","6425000","300806200","192080600","36478000","50801600","14557700","2002400","441600","6718700","303080600","192305000","36797500","51773400","15067900","2022800","472200","6937700","305376600","192379500","37122600","52764900","15505700","2008700","448800","7275400","307505500","192419600","37599400","54059600","16156500","2006500","481900","7488800","310212200","192593600","37923800","55241300","16755300","1986900","466400","7810600","312777900","192537500","38081700","56144400","17004500","2041500","514600","8142200","314466400","192336100","38408000","57560600","17651200","2039400","502500","8524700","317022500","192117000","38655700","58483600","17844800","2082800","519500","8795000","318498500","191757100","38872200","59102900","18007200","2125700","528200","8856100","319249300","1"
"Georgia","5276300","2833000","833600","304200","17000","1500","149000","9414700","5302500","2857000","854400","313300","16100","N/A","168800","9517400","5320600","2897000","880600","325300","17400","N/A","173800","9616400","5316200","2948800","876600","342400","16400","3100","187300","9690900","5334800","2992700","896200","359200","13600","6800","189600","9792900","5346500","3039500","922200","374700","16100","N/A","207700","9909700","5339500","3083400","938100","384500","16400","5200","233900","10001000","5349500","3130400","974200","400800","18100","N/A","241600","10121400","5358000","3158000","994300","421200","16300","12700","252400","10212800","5354500","3225900","1011800","422400","19700","5800","253900","10294000"
"Hawaii","282400","15200","111200","507200","1500","126900","257200","1301600","286600","18900","119800","503300","N/A","116300","264900","1311900","288800","16500","123200","516200","2300","125600","257700","1330300","289000","20400","127800","509500","N/A","118900","264700","1331500","291900","22600","133800","503900","N/A","130400","264200","1348100","295700","19700","137100","502600","1700","117400","288500","1362600","287900","17600","139800","512600","N/A","129600","275000","1364600","280000","14100","137900","517600","1300","130200","275100","1356100","278500","20400","142100","512800","N/A","129500","270100","1354800","274400","16400","137900","528600","1600","136900","247200","1343000"
"Idaho","1295400","7700","172700","20900","15300","N/A","24100","1538900","1297600","7400","175200","18500","18700","N/A","29000","1547300","1305400","6100","180000","18900","14500","N/A","36200","1562500","1317000","7000","186300","24700","15800","N/A","29000","1580900","1325000","8000","193400","22600","14600","N/A","33200","1598800","1339100","9100","192800","18200","18000","N/A","38200","1617200","1362500","8600","202200","22700","18900","N/A","33300","1650700","1381400","9500","207700","22300","17500","N/A","42100","1682100","1407600","9300","217500","27300","18100","N/A","37100","1719600","1429500","11500","225600","21600","15900","N/A","44800","1750900"
"Illinois","7988000","1759200","2010000","568700","16400","N/A","191600","12536400","7939200","1763600","2048900","584200","11500","N/A","204300","12553800","7915300","1750100","2067800","590500","12500","N/A","227400","12567900","7898400","1739200","2081000","613000","14500","2400","222600","12571100","7834100","1736700","2117100","645300","14800","4900","216500","12569400","7770700","1739800","2134700","653200","13300","3100","234900","12549700","7719800","1715800","2139000","660100","12800","3400","240300","12491200","7664800","1706000","2171200","679300","10400","N/A","259900","12496600","7588300","1685200","2173800","700500","14600","4000","271800","12438400","7522700","1679900","2177500","695500","11300","3000","272500","12362300"
"Indiana","5136600","557600","379400","96600","12400","N/A","105700","6289300","5144100","552200","387400","96000","9100","N/A","127700","6317100","5142300","561600","399200","101900","11500","N/A","119700","6338800","5138600","557200","410400","114400","8100","N/A","134600","6366500","5138400","579500","412800","122200","11200","N/A","121200","6386700","5141100","575400","424500","130600","13000","N/A","128500","6415100","5129200","582900","435200","133600","13500","N/A","134200","6431400","5127000","585200","448700","136100","9600","N/A","151700","6459400","5121300","600600","460900","147400","8500","N/A","145400","6487100","5116000","600500","471000","158800","12300","N/A","151300","6511800"
"Iowa","2616800","87100","145200","46800","5400","N/A","46700","2948200","2625700","75800","149200","53600","10100","N/A","49000","2963800","2622600","84300","156000","53500","4200","2500","52900","2976000","2619700","95100","162100","58900","6600","N/A","45100","2990300","2620800","100300","166400","62900","7100","N/A","42300","3002100","2625300","93200","169900","65600","9400","N/A","54000","3019800","2623500","98700","171300","73600","9000","N/A","50100","3030400","2616900","92800","180800","81000","7900","N/A","61500","3045600","2614600","102300","186400","79400","9000","N/A","60400","3056800","2610600","119200","191600","71600","8800","1000","57400","3060200"
"Kansas","2161600","149700","293300","67500","19000","N/A","69300","2761000","2162200","149400","297100","61100","16300","N/A","84600","2772200","2167400","152100","306900","66700","23900","N/A","69500","2787500","2162900","156400","311400","67100","19600","N/A","77800","2796500","2164000","151100","319600","70000","20200","N/A","85400","2810700","2155100","159100","326000","82300","17900","N/A","75700","2816600","2154300","157400","329400","74800","17600","N/A","82200","2817000","2145200","148500","335400","84300","16900","N/A","83400","2817600","2137700","150700","336500","78800","16000","N/A","91000","2814700","2128700","153300","341900","79900","17500","N/A","89100","2811200"
"Kentucky","3653400","313700","123500","48300","8100","N/A","58900","4207100","3651500","326500","125800","48300","5100","N/A","70100","4227900","3653900","322500","127100","53900","5900","N/A","69600","4235100","3664400","325700","134500","49900","7600","N/A","77200","4260900","3660900","318400","139000","52100","6200","N/A","89100","4268800","3662100","332100","139600","58800","7900","N/A","81100","4283400","3652100","342700","144300","60600","9300","N/A","77100","4287700","3655800","339300","148500","62400","5500","N/A","92600","4307100","3664300","328400","155000","63100","5600","N/A","100900","4320300","3648500","344900","160800","70400","4900","N/A","87500","4319300"
"Louisiana","2670900","1388800","187000","65100","25400","N/A","59900","4400400","2679200","1401300","188900","68900","25200","N/A","63600","4431200","2678500","1414000","199900","71400","20200","N/A","71400","4457000","2684600","1427300","207900","71700","24600","N/A","66300","4483200","2686700","1438500","212100","76400","22200","N/A","70600","4508500","2692200","1438800","220800","76900","21100","N/A","80200","4530300","2689200","1440900","220700","75800","24100","N/A","79000","4530500","2669900","1444600","234300","82400","21400","N/A","88200","4541500","2658300","1429700","229400","72900","22700","N/A","105500","4519300","2643900","1433000","235800","76600","21600","N/A","86900","4498600"
"Maine","1221200","14200","14400","14900","6800","N/A","18800","1290600","1221000","14600","14500","15100","6700","N/A","20000","1292200","1218200","10300","18900","12300","8200","N/A","24700","1292600","1215800","12400","16200","12800","7600","N/A","26800","1291900","1213700","15600","15700","13400","6200","N/A","29100","1293800","1211100","13700","19300","13800","6400","N/A","28100","1292600","1210500","20000","19400","15300","7100","N/A","21300","1293800","1218000","14600","20600","14100","8500","N/A","24400","1300200","1213400","17400","19500","17100","5100","N/A","26900","1299500","1213500","17800","21900","14500","9700","N/A","24600","1302300"
