"Title: Nonelderly Adult Poverty Rate by Sex | KFF"
"Timeframe: 2010 - 2019"
"Location","2010__Male","2010__Female","2010__Total","2011__Male","2011__Female","2011__Total","2012__Male","2012__Female","2012__Total","2013__Male","2013__Female","2013__Total","2014__Male","2014__Female","2014__Total","2015__Male","2015__Female","2015__Total","2016__Male","2016__Female","2016__Total","2017__Male","2017__Female","2017__Total","2018__Male","2018__Female","2018__Total","2019__Male","2019__Female","2019__Total",Footnotes
"United States","11203000","14792300","25995300","11767800","15575100","27343000","11722300","15673300","27395600","11886600","15854300","27740900","11735600","15671200","27406700","11127600","15105200","26232800","10624500","14405600","25030100","10128300","13792600","23921000","9804100","13488000","23292100","9237300","12655100","21892400","1"
"Mississippi","138700","202300","341100","141300","214100","355400","145600","223400","369000","149700","234900","384600","140700","205300","346000","137900","207000","344900","127700","202100","329800","121900","185500","307500","123100","189300","312300","110800","185600","296300"
"Missouri","225000","290800","515700","225200","309900","535100","229000","320200","549200","237400","308200","545600","218100","304200","522300","211600","293800","505400","200200","268900","469000","193500","256800","450300","188300","257300","445600","184300","243200","427500"
"Montana","37800","44400","82100","40900","41300","82200","39000","51800","90700","47100","56900","104000","47100","53500","100600","41400","48800","90100","40300","41600","81900","36200","46100","82300","34300","39500","73800","33600","43400","76900"
"Nebraska","57600","69300","126900","49400","70500","120000","47900","69300","117200","60200","73800","134000","50400","76400","126800","57900","76300","134200","54300","69100","123400","45700","64600","110300","53300","68200","121500","44700","64700","109400"
"Nevada","98200","125300","223500","113300","133900","247200","110200","135300","245600","112700","133900","246700","105600","132700","238300","104900","137800","242700","96800","124900","221700","92800","125400","218200","95700","123500","219200","95400","126400","221800"
"New Hampshire","25000","40100","65100","30400","38800","69200","31900","39800","71700","33100","40100","73200","29300","42400","71700","26000","34900","60900","25100","35200","60300","22600","33700","56300","25600","31600","57200","27500","36100","63600"
"New Jersey","200800","289500","490300","202500","292000","494500","211800","303300","515100","230200","313700","544000","220400","304300","524700","221600","295200","516900","207700","289000","496700","193600","275400","469000","176400","257800","434200","176300","250500","426900"
"New Mexico","100800","118400","219100","111100","127100","238200","105500","129400","234900","119300","144500","263800","106600","133000","239700","103400","125400","228800","91900","128800","220700","101500","123700","225200","97100","127400","224500","81600","114900","196500"
"New York","671900","927900","1599800","719900","996400","1716400","729000","984800","1713800","763200","996900","1760000","728500","982700","1711200","704500","973400","1677900","683600","945800","1629400","652900","864600","1517500","606500","845400","1451900","559800","768500","1328300"
"North Carolina","391800","523600","915400","395600","546500","942100","404300","566400","970700","420000","564100","984100","400700","562100","962800","386100","530300","916500","356900","512600","869500","340300","485500","825800","318800","474100","792900","312000","450000","762000"
"North Dakota","20400","25800","46200","20900","25800","46700","16900","23700","40600","24600","29000","53600","22800","26800","49600","23900","31000","55000","26000","25500","51500","19300","25300","44700","22500","26000","48500","25500","27800","53400"
"Ohio","4.27E+05","576200","1003200","4.48E+05","6.00E+05","1047800","4.32E+05","607900","1039900","4.33E+05","580400","1013100","4.29E+05","602800","1032000","399600","565300","964900","3.94E+05","542000","935800","3.79E+05","517000","896100","3.79E+05","515400","894500","3.45E+05","491400","835900"
"Oklahoma","142600","190100","332700","157700","204500","362200","152800","199900","352700","132600","208600","341300","144800","209200","354000","134000","208000","342000","140600","196300","336900","143600","186700","330300","141300","187200","328400","136600","199600","336200"
"Oregon","165900","200200","366100","180600","223500","404100","185900","216100","402000","179300","213000","392400","181200","207800","389000","164900","204800","369700","146300","186900","333200","143400","184000","327500","139600","168800","308400","137900","153400","291300"
"Pennsylvania","406900","534300","941200","409900","555800","965600","416900","562500","979400","435600","550100","985600","433300","547600","980900","397000","526400","923400","400800","522800","923600","382400","514900","897300","375400","497600","873000","359100","487900","847000"
"Rhode Island","38400","49000","87400","33400","49800","83200","35900","43600","79600","34500","49600","84100","32600","53700","86300","36100","45500","81600","34000","43100","77100","29600","39500","69200","31500","39000","70500","30400","35500","65900"
"South Carolina","195700","267900","463600","197800","282800","480600","186000","276400","462400","196700","285000","481600","194300","284300","478600","181500","271200","452700","164000","242400","406400","177800","246400","424200","165800","245300","411000","147000","229200","376200"
"South Dakota","30200","34300","64500","24400","29500","53900","27700","32700","60500","26800","38500","65300","29100","37000","66100","27100","38500","65600","26900","34400","61200","31400","28500","59900","30400","36600","67000","24300","24200","48500"
"Tennessee","256500","354900","611500","267700","371800","639600","269000","378000","647000","270600","376600","647200","281400","388900","670300","256200","356500","612800","235700","335400","571100","231000","331000","562000","234800","336400","571200","203300","303500","506800"
"Texas","958700","1334100","2292700","1000700","1400000","2400700","992100","1361900","2353900","996500","1395300","2391800","963100","1411100","2374200","906300","1319000","2225200","917000","1315600","2232600","843600","1264100","2107700","870300","1284200","2154500","806700","1193000","1999700"
"Utah","91800","110200","202000","95800","122100","217900","85700","106800","192500","89400","117100","206500","86400","109000","195500","80400","106700","187100","78900","100800","179800","75000","90600","165600","68200","93500","161700","75200","96400","171600"
"Vermont","20100","24400","44500","17700","22600","40300","20400","22900","43400","19800","27400","47200","17000","21700","38800","15400","20800","36200","18800","21800","40600","16900","26300","43200","19500","21600","41200","18400","25000","43400"
"Virginia","208900","307000","515900","220400","314300","534700","231000","317100","548100","221900","331900","553800","241900","326500","568400","222000","318300","540300","224900","300100","525100","205800","293100","498900","202100","304800","506900","191800","266500","458300"
"Washington","234900","296700","531600","253700","306600","560300","234800","309100","543900","253900","317800","571700","241300","303400","544700","234200","301300","535500","218700","277900","496600","214200","254200","468400","206400","259000","465400","184900","242100","427000"
"West Virginia","85300","110500","195800","90700","115300","206000","85500","108500","194000","82800","112100","194900","91900","112900","204800","82000","110800","192800","84800","111500","196300","87000","117800","204800","82100","103400","185500","70500","95800","166300"
"Wisconsin","181200","230000","411300","190200","239800","430000","187800","236800","424600","183000","247800","430800","187800","237700","425600","172600","211700","384300","177600","218200","395800","162000","208000","370000","148300","202600","350900","133500","188500","321900"
"Wyoming","13900","19900","33800","15100","21800","36900","16700","25700","42400","16000","19400","35400","18300","25000","43300","13200","21400","34600","21700","21600","43300","17300","22500","39800","14600","23200","37800","15200","18900","34200"
"Puerto Rico","405000","507600","912600","410900","512600","923400","395700","489400","885100","398300","500100","898400","399600","493400","893000","386700","486700","873400","363400","461400","824800","356700","457800","814500","332500","425300","757800","327900","430400","758300"

"Notes"
"The majority of our health coverage topics are based on analysis of the Census Bureau’s American Community Survey (ACS) by KFF. ACS includes a 1% sample of the US population and allows for precise state-level estimates.  "
""
"Data may not sum to totals due to rounding."
""
"The U.S. Census Bureau's poverty threshold for a family with two adults and one child was $20,578 in 2019. This is the official measurement of poverty used by the Federal Government, and the measure used for most poverty-based data presented on State Health Facts. The Department of Health and Human Services (HHS) produces simplified - but very similar - versions of these poverty thresholds called ""poverty guidelines"" that are used to assess eligibility for income-based programs such as Medicaid. For more information on measures of poverty, please see the detailed description provided by HHS: [http://aspe.hhs.gov/poverty/faq.cfm](http://aspe.hhs.gov/poverty/faq.cfm). For 2019 and historical thresholds, use [https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html](https://www.census.gov/data/tables/time-series/demo/income-poverty/historical-poverty-thresholds.html)."

"Sources"
"KFF estimates based on the 2008-2019 American Community Survey, 1-Year Estimates."


Footnotes
"1. US total excludes Puerto Rico."
