"Title: Distribution of the Total Population by Federal Poverty Level (above and below 200% FPL) | KFF"
"Timeframe: 2010 - 2019"
"Location","2010__Under 200%","2010__200%+","2011__Under 200%","2011__200%+","2012__Under 200%","2012__200%+","2013__Under 200%","2013__200%+","2014__Under 200%","2014__200%+","2015__Under 200%","2015__200%+","2016__Under 200%","2016__200%+","2017__Under 200%","2017__200%+","2018__Under 200%","2018__200%+","2019__Under 200%","2019__200%+",Footnotes
"United States","103423500","197382700","106362800","196717900","106949600","198427000","106758000","200747500","106087800","204124500","103127800","209650100","99900200","214566200","98125300","218897200","96825600","221672900","92396500","227000000","1"
"New Jersey","2039600","6580800","2128900","6509800","2156900","6528600","2215700","6501200","2176300","6579900","2156100","6620200","2082200","6680500","1990100","6833700","1918800","6809500","1846900","6852500"
"New Mexico","859100","1158900","894700","1141800","880000","1159200","902100","1138100","886600","1150100","874800","1160600","844200","1185200","830800","1207400","861600","1183700","768700","1272700"
"New York","6039800","12820200","6240200","12700300","6287200","12752900","6272100","12847500","6247300","12969000","6040600","13228600","5924200","13297300","5805800","13509900","5644100","13372800","5181000","13727300"
"North Carolina","3559800","5681300","3702300","5650800","3705700","5733500","3701300","5821300","3767500","5865400","3660700","6073000","3474200","6355700","3399000","6549800","3366800","6677600","3255600","6884100"
"North Dakota","187800","459300","186000","471100","177500","494400","192300","501200","186200","522200","189600","536800","186400","539500","174200","551700","180400","550200","183000","548000"
"Ohio","3870600","7345000","3908200","7316400","3911300","7310800","3822600","7417100","3838100","7432200","3691700","7601600","3560700","7718000","3528200","7795300","3524500","7831400","3395200","7956400"
"Oklahoma","1427500","2208000","1467600","2197200","1464500","2225000","1469500","2257400","1411500","2338000","1413800","2369900","1403800","2397000","1427000","2376700","1367800","2448300","1352200","2474800"
"Oregon","1383800","2380200","1408000","2385500","1416400","2409100","1407000","2444600","1428400","2461200","1338300","2610400","1289100","2725500","1251900","2811100","1202600","2908200","1140100","2988700"
"Pennsylvania","3756400","8537300","3789500","8528800","3871200","8476400","3816400","8527800","3782400","8585600","3617500","8768900","3590300","8774400","3480100","8909000","3449500","8938500","3375300","9002300"
"Rhode Island","318100","691000","309300","698100","309600","698300","299800","708900","313100","700600","301200","713200","284300","729600","273300","742600","272500","741500","242300","774800"
"South Carolina","1779000","2697500","1854000","2665500","1855700","2713400","1844100","2772100","1846500","2827800","1774600","2959400","1715300","3090000","1745300","3119400","1741100","3188700","1634500","3349700"
