"Location","2010__White","2010__Black","2010__Hispanic","2010__Asian/Native Hawaiian and Pacific Islander","2010__American Indian/Alaska Native","2010__Multiple Races","2010__Total","2011__White","2011__Black","2011__Hispanic","2011__Asian/Native Hawaiian and Pacific Islander","2011__American Indian/Alaska Native","2011__Multiple Races","2011__Total","2012__White","2012__Black","2012__Hispanic","2012__Asian/Native Hawaiian and Pacific Islander","2012__American Indian/Alaska Native","2012__Multiple Races","2012__Total","2013__White","2013__Black","2013__Hispanic","2013__Asian/Native Hawaiian and Pacific Islander","2013__American Indian/Alaska Native","2013__Multiple Races","2013__Total","2014__White","2014__Black","2014__Hispanic","2014__Asian/Native Hawaiian and Pacific Islander","2014__American Indian/Alaska Native","2014__Multiple Races","2014__Total","2015__White","2015__Black","2015__Hispanic","2015__Asian/Native Hawaiian and Pacific Islander","2015__American Indian/Alaska Native","2015__Multiple Races","2015__Total","2016__White","2016__Black","2016__Hispanic","2016__Asian/Native Hawaiian and Pacific Islander","2016__American Indian/Alaska Native","2016__Multiple Races","2016__Total","2017__White","2017__Black","2017__Hispanic","2017__Asian/Native Hawaiian and Pacific Islander","2017__American Indian/Alaska Native","2017__Multiple Races","2017__Total","2018__White","2018__Black","2018__Hispanic","2018__Asian/Native Hawaiian and Pacific Islander","2018__American Indian/Alaska Native","2018__Multiple Races","2018__Total","2019__White","2019__Black","2019__Hispanic","2019__Asian/Native Hawaiian and Pacific Islander","2019__American Indian/Alaska Native","2019__Multiple Races","2019__Total",Footnotes
"United States","103303400","14166700","16631100","7971000","614600","3082500","145769300","102815200","14164000","17235400","7995800","619700","3169600","145999700","102217800","14286200","17590900","8286500","624100","3275100","146280700","100963800","14301600","17953000","8556500","601900","3532200","145909100","100633900","14645100","19410000","8912800","634300","3601700","147837800","100358900","15073500","20035900","9260600","624600","3886500","149239900","100085200","15457400","20741300","9550500","626900","3984700","150445900","100000000","15719600","21775900","9951300","630800","4268000","153000000","100244900","15767400","22373800","10264500","654300","4451200","153756100","99779800","16081200","23185400","10393600","681800","4563600","155000000","1"
"Georgia","2782900","1193600","201400","153300","8000","67000","4406100","2768800","1188800","223400","146400","5700","73100","4406100","2755500","1178400","248900","166700","6000","76100","4431600","2711700","1211400","220400","170900","5700","80200","4400400","2746000","1201500","268700","186100","6100","84600","4492900","2756200","1282300","270900","198100","6300","96700","4610600","2707900","1347300","282200","204700","7200","108500","4657800","2813300","1390400","301600","210800","6300","106200","4828700","2793000","1378900","323900","245200","7500","118000","4866500","2817000","1427100","327600","241500","7300","122000","4942500"
"Hawaii","133500","6600","51200","356800","N/A","150000","698800","135200","3800","56700","358200","N/A","158800","713600","131400","5300","52400","340200","N/A","144800","674700","130700","7800","69800","333500","N/A","143600","685800","130200","11000","70600","346100","N/A","152600","711100","134600","6200","63900","333700","N/A","175700","714700","131200","8400","72500","342000","N/A","172800","727400","124800","5300","67700","347000","N/A","158500","703700","124600","9600","68600","347200","N/A","154200","704500","119600","8300","74200","350000","N/A","145600","698500"
"Idaho","630500","3000","63500","11600","4200","9200","722100","633900","4000","58500","11700","6100","12700","726900","621400","2500","59500","12200","5400","19400","720400","621900","N/A","68500","11800","5000","10900","720900","630100","4800","69400","9500","5300","13600","732600","624200","5600","71200","10300","5800","13900","730800","658100","3900","67500","13000","6000","16300","764800","652800","2900","76800","13800","5900","17300","769500","675100","N/A","81600","17500","5400","16900","798200","694700","N/A","101900","13000","6100","22200","844100"
"Illinois","4639100","629000","771700","332800","7500","99500","6479500","4627900","612200","791300","350400","4500","103200","6489600","4551100","616100","805300","339400","4900","114100","6430900","4543100","598400","775800","361400","6500","116700","6401900","4469300","613200","871600","363900","6900","113600","6438500","4450500","649500","867100","373800","7500","126400","6474800","4415000","644900","926300","390400","4400","117700","6498700","4390100","635300","947800","408400","4500","141100","6527300","4382700","653900","1000300","413500","6900","143000","6600400","4301700","642100","1045000","426200","6000","158900","6579900"
"Indiana","2795300","195900","143500","54800","5300","42500","3237300","2825200","200800","150400","50500","3500","56400","3286700","2817200","204800","141600","54900","6000","51100","3275700","2777300","207500","161800","55600","3100","52200","3257500","2793400","218400","173100","69200","4500","48400","3306900","2802700","221100","165500","75100","6100","56200","3326600","2819200","238900","179100","73100","5100","58500","3373900","2790500","241100","174000","85300","4600","65800","3361400","2812200","259400","203200","86100","3800","71200","3436000","2767200","244100","220800","97600","5600","72200","3407500"
"Iowa","1466800","28800","51900","30200","1500","19900","1599100","1485000","21900","58500","33400","4400","24200","1627400","1446600","33500","67500","33100","N/A","20400","1602000","1429600","31300","66000","40700","2200","16600","1586500","1421300","30700","77500","41500","3300","17800","1592100","1447100","32100","68300","38700","N/A","24400","1613600","1436900","35300","75900","48400","3000","19400","1618900","1455700","44700","83700","52200","2300","23600","1662200","1449200","26800","78700","49900","2900","23600","1631100","1444700","40000","85100","41600","2700","23400","1637600"
"Kansas","1217900","60500","120900","40200","8000","28600","1476200","1213300","60700","117800","33400","5300","34500","1465000","1196100","65400","113900","38500","11800","27000","1452600","1174900","57100","121000","42400","9200","35000","1439600","1181200","56600","123100","42100","8100","40100","1451200","1216000","62000","131800","43900","7700","34700","1496200","1179900","59500","145800","48700","9400","39000","1482200","1195500","67200","149600","50000","7800","38300","1508400","1203700","58400","140500","50800","8100","44600","1506100","1191300","57600","147100","47900","8100","44700","1496700"
"Kentucky","1759000","119600","38000","26400","3500","18800","1965300","1755000","113500","38700","27300","3200","25600","1963300","1775400","122200","46100","30100","2400","26100","2002200","1771500","126700","39800","26700","2000","28200","1995000","1751100","108300","46200","30400","2500","35300","1973800","1722100","127100","45800","31100","2400","35000","1963500","1702700","123500","48600","32900","3700","32700","1944100","1704100","134000","52500","33300","N/A","36100","1961700","1725800","124100","53800","33800","N/A","47800","1986900","1719700","130800","61400","37500","N/A","35600","1987000"
"Louisiana","1328900","432600","54700","27300","8000","24200","1875700","1342900","430400","49000","27800","8400","20500","1878900","1306200","436700","61300","31700","7700","27900","1871400","1349300","455300","60500","30700","9800","23600","1929200","1356200","477600","67400","38600","6400","28100","1974200","1340200","492600","73200","33700","6600","36800","1983200","1305400","464900","64600","38000","7100","26900","1906800","1310100","461400","76000","36500","6500","29800","1920500","1279200","436200","62900","34200","9400","42000","1863800","1233800","456600","70100","27900","10000","33100","1831400"
"Maine","576700","1500","N/A","7500","N/A","7600","597800","576300","N/A","5200","6900","2200","5800","602500","558700","N/A","8200","5900","1800","7100","583500","550700","N/A","3000","6000","2100","10300","573100","559500","2600","8100","8600","N/A","7200","588100","556600","4100","8500","7900","N/A","12200","590600","570400","4800","7100","8800","3100","9300","603500","588600","5800","9400","7200","1900","10300","623200","578000","3100","10500","10600","N/A","11000","614900","554000","5600","11700","5500","3000","8800","588700"
