"Title: Poverty Rate by Age | KFF"
"Timeframe: 2008 - 2019"
"Location","2008__Children 0-18","2008__Adults 19-64","2008__65+","2008__Total","2009__Children 0-18","2009__Adults 19-64","2009__65+","2009__Total","2010__Children 0-18","2010__Adults 19-64","2010__65+","2010__Total","2011__Children 0-18","2011__Adults 19-64","2011__65+","2011__Total","2012__Children 0-18","2012__Adults 19-64","2012__65+","2012__Total","2013__Children 0-18","2013__Adults 19-64","2013__65+","2013__Total","2014__Children 0-18","2014__Adults 19-64","2014__65+","2014__Total","2015__Children 0-18","2015__Adults 19-64","2015__65+","2015__Total","2016__Children 0-18","2016__Adults 19-64","2016__65+","2016__Total","2017__Children 0-18","2017__Adults 19-64","2017__65+","2017__Total","2018__Children 0-18","2018__Adults 19-64","2018__65+","2018__Total","2019__Children 0-18","2019__Adults 19-64","2019__65+","2019__Total",Footnotes
"United States","13935600","21406600","3683300","39025500","15366300","23752900","3602200","42721400","16521500","25995300","3563500","46080300","17106700","27343000","3741200","48190800","17157800","27395600","3921900","48475300","16756500","27740900","4159200","48656500","16391400","27406700","4230500","48028600","15671200","26232800","4173300","46077300","14745000","25030100","4417500","44192500","13907500","23921000","4558400","42386900","13547700","23292100","4804600","41644300","12492400","21892400","4998500","39383200","1"
"Illinois","561800","826200","139300","1527300","615700","927000","130900","1673700","631900","982500","130100","1744500","676000","1043000","128400","1847400","652300","1048700","142300","1843200","625400","1053100","146400","1824900","629900","1023000","147100","1800000","594500","979800","150200","1724500","530900","927900","165700","1624500","516400","909700","155600","1581700","464900","853000","167500","1485400","445900","792000","166800","1404700"
"Indiana","296800","443400","66900","807100","320700","505800","60900","887400","363700","545200","56300","965200","371500","562500","60100","994100","357400","572000","61500","990900","350500","589200","68500","1008300","351900","564000","63800","979700","354200","544000","68800","967000","308800","516700","74900","900400","291000","507400","74300","872700","287500","484300","79000","850800","255300","460100","76100","791500"
"Iowa","109900","197000","32100","339000","119300","190600","31900","341800","128600","218500","28800","375800","128600","220700","30100","379400","117200","221900","36400","375600","125500","227500","36200","389200","120800","215300","32600","368600","121900","236000","31000","389000","98100","213000","34800","346000","85000","190500","33900","309400","104200","200200","38900","343200","98600","208200","42500","349200"
"Kansas","105000","168700","28200","301900","125900","196700","28000","350600","132200","203000","28200","363300","144000","223300","25600","392900","138500","220100","25100","383700","135700","213900","31100","380800","129600","223700","30200","383400","130200","206200","28200","364600","105200","206200","29400","340800","109300","196100","31900","337300","111600","196500","35900","344000","109700","182400","31200","323200"
"Kentucky","248900","402100","73800","724800","267500","441500","67000","776000","267600","457000","63100","787800","297000","462300","67700","826900","277700","469200","68700","815700","251200","462400","70300","783800","261500","464300","70300","796100","262000","444900","73000","779900","260700","466100","72400","799200","236800","442100","69200","748100","229100","420900","73200","723300","210000","396000","88700","694700"
"Louisiana","272300","387800","69700","729800","288100","407400","65800","761200","315900","437100","61700","814700","328900","496600","70200","895700","323400","491700","70500","885500","315600","494300","74000","883900","313800","494700","76500","884900","320700","477200","81800","879700","336600","497600","85300","919500","328000","494600","83900","906500","302200","454700","88300","845200","294900","453700","94700","843400"
"Maine","49100","96600","17200","162900","47900","91300","18500","157600","52000","103200","21000","176200","50800","114700","18600","184100","55700","119800","17900","193400","46200","104800","21100","172100","52200","117100","19700","189000","40100","105000","21400","166500","48600","97000","22400","168000","34400","92700","21200","148400","31300","88500","25100","144900","31300","86100","20500","137900"
"Maryland","147900","249800","52600","450300","162500","292400","53500","508500","186500","323100","55300","564900","190200","331600","51900","573700","190500","331700","55700","578000","199200","333700","62600","595500","176600","343700","58300","578700","188700","342900","58800","590400","170400","307300","70900","548600","167900","318700","68800","555500","154200","297800","66300","518300","161600","297100","73700","532400"
"Massachusetts","175800","364300","81400","621500","199300","384800","74600","658700","208800","434800","74400","718000","223500","441000","79700","744200","231200","453000","83900","768200","228700","456300","82000","766900","214100","451800","88500","754400","208700","445800","87800","742200","193700","409900","86100","689700","194500","400200","95100","689800","173500","394600","98200","666400","159800","362500","104400","626600"
"Michigan","493100","814900","107300","1415400","539200","907100","105200","1551400","558200","933200","105200","1596600","563400","967000","113600","1644000","587200","990300","116500","1694000","542600","968100","116200","1626800","496800","929600","125400","1551800","511100","905300","122600","1539100","465300","852700","125600","1443600","442200","802000","137700","1381900","418200","794000","154500","1366700","383600","743100","152000","1278700"
